cluster_name	representative	Gene3D	Pfam	FunFam	PANTHER	SMART	Hamap	NCBIfam	PRINTS	ProSiteProfiles	SUPERFAMILY	CDD	Coils	MobiDBLite	PIRSF	ProSitePatterns
Cluster_77	psia	-	PF06952: PsiA protein [IPR009713: Uncharacterised protein family PsiA]	-	-	-	-	NF010258: plasmid SOS inhibition protein A	-	-	-	-	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_78	abc1	G3DSA:1.10.10.10 [IPR036388: Winged helix-like DNA-binding domain superfamily]	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_79	AcrIB7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_80	AcrVIA4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_81	Dap2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_82	AcrIC3	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_83	vcrx091	G3DSA:2.40.50.140 [IPR012340: Nucleic acid-binding, OB-fold]	PF00436: Single-strand binding protein family [IPR000424: Primosome PriB/single-strand DNA-binding]	-	PTHR10302: SINGLE-STRANDED DNA-BINDING PROTEIN [IPR011344: Single-stranded DNA-binding protein]	-	MF_00984: Single-stranded DNA-binding protein. [IPR011344: Single-stranded DNA-binding protein]	TIGR00621: single-stranded DNA-binding protein [IPR011344: Single-stranded DNA-binding protein]	-	PS50935: Single-strand binding (SSB) domain profile. [IPR000424: Primosome PriB/single-strand DNA-binding]	SSF50249: Nucleic acid-binding proteins [IPR012340: Nucleic acid-binding, OB-fold]	cd04496: SSB_OBF [IPR000424: Primosome PriB/single-strand DNA-binding]	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_84	AcrVA2	-	PF26125: Anti-CRISPR type V subtype A2 family [IPR058915: Anti-CRISPR type V subtype A2-like]	-	-	-	-	-	-	-	-	cd22987: AcrVA2-like	-	-	-	-
Cluster_85	AcrIIIB2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_86	gam	G3DSA:1.10.10.2020 [IPR042034: Host-nuclease inhibitor Gam superfamily]	PF06064: Host-nuclease inhibitor protein Gam [IPR009274: Host-nuclease inhibitor Gam]	G3DSA:1.10.10.2020:FF:000001: Host-nuclease inhibitor protein gam	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_87	lar	-	PF14354: Restriction alleviation protein Lar	-	-	-	-	NF007260: type I toxin-antitoxin system endodeoxyribonuclease toxin RalR;TIGR03655: Lar family restriction alleviation protein [IPR019908: Endodeoxyribonuclease toxin RalR]	-	-	-	-	-	-	-	-
Cluster_88	AcrIB8	G3DSA:3.90.176.10	-	-	-	-	-	-	-	-	SSF56399: ADP-ribosylation	-	-	-	-	-
Cluster_89	vcrx093	G3DSA:3.90.320.10 [IPR011604: PD-(D/E)XK endonuclease-like domain superfamily]	PF09588: YqaJ-like viral recombinase domain [IPR019080: YqaJ viral recombinase]	-	PTHR46609: EXONUCLEASE, PHAGE-TYPE/RECB, C-TERMINAL DOMAIN-CONTAINING PROTEIN [IPR051703: NF-kappa-B Signaling Regulator]	-	-	TIGR03033: lambda-exonuclease family protein [IPR017482: Lambda-type exonuclease]	-	-	SSF52980: Restriction endonuclease-like [IPR011335: Restriction endonuclease type II-like]	cd22343: PDDEXK_lambda_exonuclease-like	Coil: Coil	-	-	-
Cluster_90	AcrIC10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_91	AcrIIA18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_92	AcrIF20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_93	samase	-	PF23780: S-Adenosylmethionine lyase family [IPR057548: S-Adenosylmethionine lyase-like]	-	-	-	-	-	-	-	-	-	-	-	PIRSF001110: ADOMetase [IPR016290: S-Adenosylmethionine lyase]	-
Cluster_94	orf126	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_95	AcrIF15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_96	AcrIIC3	-	-	-	-	-	-	-	-	-	-	cd22215: AcrIIC3	-	-	-	-
Cluster_97	AcrIIA4	-	PF24304: Anti-CRISPR Suppressor AcrIIA4 [IPR056215: Anti-CRISPR Suppressor AcrIIA4-like]	-	-	-	-	NF033946: AcrIIA4 family anti-CRISPR protein [IPR056215: Anti-CRISPR Suppressor AcrIIA4-like]	-	-	-	-	-	-	-	-
Cluster_98	gnarl1	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_99	AcrIIC7	G3DSA:1.10.260.40 [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	PF01381: Helix-turn-helix [IPR001387: Cro/C1-type, helix-turn-helix domain]	-	-	SM00530: mbf_short4 [IPR001387: Cro/C1-type, helix-turn-helix domain]	-	-	-	PS50943: Cro/C1-type HTH domain profile. [IPR001387: Cro/C1-type, helix-turn-helix domain]	SSF47413: lambda repressor-like DNA-binding domains [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	cd00093: HTH_XRE [IPR001387: Cro/C1-type, helix-turn-helix domain]	-	-	-	-
Cluster_100	atd1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_101	ulx	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_102	AcrIB2	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_103	ardc	-	PF08401: N-terminal domain of anti-restriction factor ArdC [IPR013610: ArdC, N-terminal ssDNA binding domain];PF18818: Zincin-like metallopeptidase [IPR041459: Polyvalent protein, metallopeptidase domain]	-	-	-	-	-	-	-	-	-	Coil: Coil	mobidb-lite: consensus disorder prediction	PIRSF037112: ArdC [IPR017113: ArdC family member y4eC]	-
Cluster_104	AcrIE4-IF7	-	PF25703: Anti-CRISPR protein F31 [IPR057729: Anti-CRISPR protein F31]	-	-	-	-	-	-	-	-	cd22552: AcrIE4	-	-	-	-
Cluster_105	AcrIIA34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_106	AcrIF6	-	-	-	-	-	-	-	-	-	-	cd22257: AcrIF6-like	-	-	-	-
Cluster_107	AcrIF11	-	PF26151: Anti-CRISPR Type I-F ADP-ribosyltransferase AcrIF11 [IPR058829: Anti-CRISPR Type I-F ADP-ribosyltransferase AcrIF11-like]	-	-	-	-	NF052490: AcrIF11 family anti-CRISPR ADP-ribosyltransferase [IPR058829: Anti-CRISPR Type I-F ADP-ribosyltransferase AcrIF11-like]	-	-	-	cd22580: AcrIF11	-	-	-	-
Cluster_108	tifa	-	PF23945: Family of unknown function (DUF7279) [IPR055703: Protein of unknown function DUF7279]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_109	AcrIF23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_110	gp4_5	-	PF17574: Inhibitor of toxin/antitoxin system (Gp4.5) [IPR035151: Inhibitor of toxin/antitoxin system]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_111	AcrIF19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_112	ocr	G3DSA:1.20.120.780: DNA mimic ocr [IPR036207: B-form DNA mimic Ocr]	PF08684: DNA mimic ocr [IPR014798: Protein Ocr]	-	-	-	-	-	-	-	SSF101059: B-form DNA mimic Ocr [IPR036207: B-form DNA mimic Ocr]	-	Coil: Coil	-	-	-
Cluster_113	AcrIE7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_114	AcrIB6	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_115	adfa	-	PF23813: Anti-DarT factor A [IPR055608: Anti-DarT factor A-like]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_116	AcrIIA31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_117	AcrVA3	-	-	-	-	-	-	-	-	-	-	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_118	adnd_p0020	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_119	AcrIIA24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_120	AcrIF25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_121	gnarl3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_122	AcrIF10	-	-	-	-	-	-	NF033953: AcrF10 family anti-CRISPR protein	-	-	-	cd22259: AcrIF10	-	-	-	-
Cluster_123	psib	G3DSA:3.40.50.11880: Plasmid SOS inhibition protein [IPR038131: Protein PsiB-like superfamily]	PF06290: Plasmid SOS inhibition protein (PsiB) [IPR009385: Protein PsiB]	-	-	-	-	NF010255: conjugation system SOS inhibitor PsiB [IPR009385: Protein PsiB]	-	PS51257: Prokaryotic membrane lipoprotein lipid attachment site profile.	-	-	-	-	-	-
Cluster_124	AcrIF14	-	-	-	-	-	-	-	-	-	-	cd22937: AcrIF14	-	-	-	-
Cluster_125	AcrIIA12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_126	racc	-	-	-	-	-	-	NF007306: hypothetical protein	-	-	-	-	-	-	-	-
Cluster_127	ntase	-	PF10127: RNA repair pathway DNA polymerase beta family [IPR018775: RNA repair pathway DNA polymerase beta]	-	PTHR34817: NUCLEOTIDYLTRANSFERASE [IPR018775: RNA repair pathway DNA polymerase beta]	-	-	-	-	-	-	-	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_128	AcrIC7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_129	AcrIF7	-	-	-	-	-	-	-	-	-	-	cd22565: AcrIF7	-	-	-	-
Cluster_130	AcrIIA17	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_131	AcrIB1	G3DSA:3.40.630.30	-	-	PTHR36449: ACETYLTRANSFERASE-RELATED	-	-	-	-	-	SSF55729: Acyl-CoA N-acyltransferases (Nat) [IPR016181: Acyl-CoA N-acyltransferase]	-	Coil: Coil	-	-	-
Cluster_132	AcrVA1	-	-	-	-	-	-	-	-	-	-	cd22787: AcrVA1	Coil: Coil	-	-	-
Cluster_133	orf148	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_134	AcrIF12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_135	AcrIIA30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_136	AcrIF18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_137	AcrIIA32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_138	darb	G3DSA:3.40.50.10810 [IPR038718: SNF2-like, N-terminal domain superfamily];G3DSA:3.40.50.150: Vaccinia Virus protein VP39 [IPR029063: S-adenosyl-L-methionine-dependent methyltransferase superfamily];G3DSA:3.40.50.300 [IPR027417: P-loop containing nucleoside triphosphate hydrolase]	PF00271: Helicase conserved C-terminal domain [IPR001650: Helicase, C-terminal domain-like];PF07669: Eco57I restriction-modification methylase [IPR011639: Type II methyltransferase M.TaqI-like domain]	G3DSA:3.40.50.10810:FF:000117: Defense against restriction protein B;G3DSA:3.40.50.150:FF:000714: Defense against restriction protein B	PTHR41313: ADENINE-SPECIFIC METHYLTRANSFERASE [IPR052933: DNA Protection and Modification]	SM00487: ultradead3 [IPR014001: Helicase superfamily 1/2, ATP-binding domain];SM00490: helicmild6 [IPR001650: Helicase, C-terminal domain-like]	-	-	PR00507: N12 class N6 adenine-specific DNA methyltransferase signature	PS51192: Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile. [IPR014001: Helicase superfamily 1/2, ATP-binding domain];PS51194: Superfamilies 1 and 2 helicase C-terminal domain profile. [IPR001650: Helicase, C-terminal domain-like]	SSF52540: P-loop containing nucleoside triphosphate hydrolases [IPR027417: P-loop containing nucleoside triphosphate hydrolase];SSF53335: S-adenosyl-L-methionine-dependent methyltransferases [IPR029063: S-adenosyl-L-methionine-dependent methyltransferase superfamily]	-	Coil: Coil	-	-	-
Cluster_139	aca4	G3DSA:1.10.10.2690 [IPR053721: Fimbrial Adhesin Regulatory Protein]	PF16509: TrfB plasmid transcriptional repressor [IPR032428: TrfB transcriptional repressor protein]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_140	AcrIE9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_141	hdf	-	PF18788: Defence against restriction A N-terminal [IPR041140: Defence against restriction A, N-terminal]	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_142	aca13	-	-	-	-	-	-	-	-	-	-	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_143	AcrIIC1	-	-	-	-	-	-	-	-	-	-	cd22213: AcrIIC1	-	-	-	-
Cluster_144	vcrx092	-	PF03837: RecT family [IPR018330: RecT family]	-	-	-	-	TIGR01913: phage recombination protein Bet [IPR010183: Bacteriophage lambda, Recombination protein bet]	-	-	-	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_145	AcrIIA21	G3DSA:1.10.10.10 [IPR036388: Winged helix-like DNA-binding domain superfamily]	PF06970: Replication initiator protein A (RepA) N-terminus [IPR010724: Replication initiator A, N-terminal]	-	-	-	-	-	-	-	SSF46785: Winged helix DNA-binding domain [IPR036390: Winged helix DNA-binding domain superfamily]	-	-	-	-	-
Cluster_146	aca5	G3DSA:1.10.260.40 [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_147	AcrIE3	-	PF28100: Anti-CRISPR type I subtype E3-like [IPR049758: Anti-CRISPR type I subtype E3-like]	-	-	-	-	-	-	-	-	cd22551: AcrIE3 [IPR049758: Anti-CRISPR type I subtype E3-like]	-	-	-	-
Cluster_148	AcrVIA2_new	G3DSA:3.40.50.300 [IPR027417: P-loop containing nucleoside triphosphate hydrolase]	PF00270: DEAD/DEAH box helicase [IPR011545: DEAD/DEAH-box helicase domain];PF22590: CRISPR-associated nuclease/helicase Cas3, C-terminal [IPR054712: CRISPR-associated nuclease/helicase Cas3 domain]	-	-	SM00487: ultradead3 [IPR014001: Helicase superfamily 1/2, ATP-binding domain]	-	-	-	PS51192: Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile. [IPR014001: Helicase superfamily 1/2, ATP-binding domain]	SSF52540: P-loop containing nucleoside triphosphate hydrolases [IPR027417: P-loop containing nucleoside triphosphate hydrolase]	-	-	-	-	-
Cluster_149	AcrIIA33_Seq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_150	AcrIF5	-	-	-	-	-	-	-	-	-	-	cd22564: AcrIF5	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_151	AcrIA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_152	alt	G3DSA:3.90.176.10	PF03496: ADP-ribosyltransferase exoenzyme [IPR003540: ADP ribosyltransferase];PF26846: Tevenvirinae NAD(+)--arginine ADP-ribosyltransferase family [IPR060232: NAD(+)--arginine ADP-ribosyltransferase, N-terminal]	-	-	-	MF_04139: NAD(+)--arginine ADP-ribosyltransferase. [IPR016225: NAD--protein ADP-ribosyltransferase Alt-like]	-	-	PS51996: Toxin-related mono-ADP-ribosyltransferase (TR mART) core domain profile.	SSF56399: ADP-ribosylation	cd00233: VIP2	-	-	PIRSF000491: Alt_phage [IPR016225: NAD--protein ADP-ribosyltransferase Alt-like]	-
Cluster_153	AcrIIA5	-	-	-	-	-	-	-	-	-	-	cd22591: AcrIIA5	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_154	AcrVIA1_Lwa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_155	AcrIF22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_156	vcrx090	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_157	AcrIIA9	-	PF14058: PcfK-like protein [IPR025624: PcfK-like domain]	-	-	-	-	-	-	-	-	-	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_158	AcrVIA5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_159	rexb	-	PF15968: Membrane-anchored ion channel, Abi component [IPR031892: Abi component, membrane-anchored ion channel RexB]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_160	AcrIF13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_161	AcrIIA14	-	-	-	-	-	-	-	-	-	-	cd23531: AcrIIA14_C	-	-	-	-
Cluster_162	gad2	-	PF26128: Gabija anti-defense 2 family protein	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_163	Dap1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_164	AcrIIA33	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_165	ardr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_166	AcrIIC5	-	-	-	-	-	-	-	-	-	-	cd22803: AcrIIC5	-	-	-	-
Cluster_167	AcrIIC8	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_168	AcrIIA23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_169	AcrIC4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_170	ddra	-	-	-	-	-	-	-	-	-	-	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_171	AcrIIA10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_172	AcrIE1	-	-	-	-	-	-	-	-	-	-	cd22266: AcrIE1	-	-	-	-
Cluster_173	AcrIIA29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_174	AcrIC8	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_175	AcrIB3	G3DSA:3.30.70.2660	PF09704: CRISPR-associated protein (Cas_Cas5) [IPR021124: CRISPR-associated protein, Cas5]	-	-	-	-	TIGR02593: CRISPR-associated protein Cas5 [IPR013422: CRISPR-associated protein Cas5, N-terminal];TIGR01895: type I-B CRISPR-associated protein Cas5b [IPR013337: CRISPR-associated protein Cas5, Tneap type]	-	-	-	cd09658: Cas5_I-B	Coil: Coil	-	-	-
Cluster_176	AcrVA5	G3DSA:3.40.630.30	PF13508: Acetyltransferase (GNAT) domain [IPR000182: GNAT domain]	-	-	-	-	-	-	PS51186: Gcn5-related N-acetyltransferase (GNAT) domain profile. [IPR000182: GNAT domain]	SSF55729: Acyl-CoA N-acyltransferases (Nat) [IPR016181: Acyl-CoA N-acyltransferase]	cd04301: NAT_SF	-	-	-	-
Cluster_177	AcrIIA1	G3DSA:1.10.260.40 [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	PF13443: Cro/C1-type HTH DNA-binding domain [IPR001387: Cro/C1-type, helix-turn-helix domain]	-	-	-	-	-	-	-	SSF47413: lambda repressor-like DNA-binding domains [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	cd22282: AcrllA1	Coil: Coil	-	-	-
Cluster_178	ddrb	-	PF18763: ddrB-like ParB superfamily domain [IPR041398: DdrB-like domain]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_179	AcrIE6	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_180	AcrIIA20	-	-	-	-	-	-	-	-	-	-	-	Coil: Coil	-	-	-
Cluster_181	Adfm_1	G3DSA:3.40.220.10: Leucine Aminopeptidase, subunit E, domain 1 [IPR043472: Macro domain-like];G3DSA:3.40.30.10: Glutaredoxin [IPR036249: Thioredoxin-like superfamily];G3DSA:3.40.1160.10 [IPR036393: Acetylglutamate kinase-like superfamily]	PF01661: Macro domain [IPR002589: Macro domain];PF02789: Cytosol aminopeptidase family, N-terminal domain [IPR008283: Peptidase M17, leucyl aminopeptidase, N-terminal];PF00085: Thioredoxin [IPR013766: Thioredoxin domain];PF12379: Betacoronavirus replicase NSP3, N-terminal [IPR024358: Non-structural protein NSP3, N-terminal, betacoronavirus]	G3DSA:3.40.220.10:FF:000003: O-acetyl-ADP-ribose deacetylase MACROD2;G3DSA:3.40.220.10:FF:000007: O-acetyl-ADP-ribose deacetylase 1;G3DSA:3.40.220.10:FF:000023: ADP-ribose 1''-phosphate phosphatase;G3DSA:3.40.220.10:FF:000006: ganglioside-induced differentiation-associated protein 2 isoform X1;G3DSA:3.40.30.10:FF:000001: Thioredoxin;G3DSA:3.40.220.10:FF:000017: ORF1a polyprotein;G3DSA:3.40.220.10:FF:000015: Polyprotein P1234;G3DSA:3.40.220.10:FF:000013: Poly [ADP-ribose] polymerase;G3DSA:3.40.220.10:FF:000008: Orf1a polyprotein	PTHR12521: PROTEIN C6ORF130 [IPR050892: ADP-ribose derivative metabolism enzymes];PTHR11106: GANGLIOSIDE INDUCED DIFFERENTIATION ASSOCIATED PROTEIN 2-RELATED;PTHR14453: PARP/ZINC FINGER CCCH TYPE DOMAIN CONTAINING PROTEIN [IPR052056: Mono-ADP-ribosyltransferase ARTD/PARP];PTHR47157: CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 1-LIKE [IPR031053: Chromodomain-helicase-DNA-binding protein 1-like]	SM00506: YBR022w_8 [IPR002589: Macro domain]	MF_01205: O-acetyl-ADP-ribose deacetylase [ymdB]. [IPR024900: O-acetyl-ADP-ribose deacetylase]	NF001667: ADP-ribose-binding protein;NF001668: ADP-ribose-binding protein;NF001660: O-acetyl-ADP-ribose deacetylase;NF001664: O-acetyl-ADP-ribose deacetylase;NF001661: O-acetyl-ADP-ribose deacetylase;NF048014: type II toxin-antitoxin system antitoxin DNA ADP-ribosyl glycohydrolase DarG;NF001665: ADP-ribose-binding protein;NF001663: ADP-ribose-binding protein;NF001666: ADP-ribose-binding protein;NF006898: thioredoxin TrxA;TIGR01068: thioredoxin [IPR005746: Thioredoxin]	PR00421: Thioredoxin family signature	PS51154: Macro domain profile. [IPR002589: Macro domain];PS51352: Thioredoxin domain profile. [IPR013766: Thioredoxin domain]	SSF52949: Macro domain-like [IPR043472: Macro domain-like];SSF52833: Thioredoxin-like [IPR036249: Thioredoxin-like superfamily]	cd02907: Macro_Af1521_BAL-like;cd02908: Macro_OAADPr_deacetylase;cd02901: Macro_Poa1p-like;cd03330: Macro_Ttha0132-like;cd02905: Macro_GDAP2-like [IPR035793: GDAP2, macro domain];cd02947: TRX_family;cd21557: Macro_X_Nsp3-like [IPR044371: Non-structural protein 3, X-domain-like];cd02903: Macro_BAL-like	Coil: Coil	mobidb-lite: consensus disorder prediction	-	PS00194: Thioredoxin family active site. [IPR017937: Thioredoxin, conserved site]
Cluster_182	RT	G3DSA:3.30.70.270 [IPR043128: Reverse transcriptase/Diguanylate cyclase domain];G3DSA:3.10.10.10: HIV Type 1 Reverse Transcriptase, subunit A, domain 1	PF00078: Reverse transcriptase (RNA-dependent DNA polymerase) [IPR000477: Reverse transcriptase domain]	-	PTHR34047: NUCLEAR INTRON MATURASE 1, MITOCHONDRIAL-RELATED [IPR051083: Group II Intron Splicing and Mobility/Defense]	-	-	NF038233: retron St85 family RNA-directed DNA polymerase	PR00866: RNA-dependent DNA-polymerase (msDNA) signature [IPR000123: RNA-directed DNA polymerase (reverse transcriptase), msDNA]	PS50878: Reverse transcriptase (RT) catalytic domain profile. [IPR000477: Reverse transcriptase domain]	SSF56672: DNA/RNA polymerases [IPR043502: DNA/RNA polymerase superfamily]	cd03487: RT_Bac_retron_II [IPR000123: RNA-directed DNA polymerase (reverse transcriptase), msDNA]	Coil: Coil	-	-	-
Cluster_183	AcrIA1	G3DSA:3.90.320.10 [IPR011604: PD-(D/E)XK endonuclease-like domain superfamily]	PF01930: Domain of unknown function DUF83 [IPR022765: Dna2/Cas4, domain of unknown function DUF83];PF12705: PD-(D/E)XK nuclease superfamily [IPR038726: PD-(D/E)XK endonuclease-like domain, AddAB-type];PF13366: PD-(D/E)XK nuclease superfamily [IPR026350: GxxExxY protein]	-	PTHR36531: CRISPR-ASSOCIATED EXONUCLEASE CAS4 [IPR051827: CRISPR-associated exonuclease Cas4]	-	-	TIGR00372: CRISPR-associated protein Cas4 [IPR013343: CRISPR-associated protein Cas4]	-	-	SSF52980: Restriction endonuclease-like [IPR011335: Restriction endonuclease type II-like]	cd09637: Cas4_I-A_I-B_I-C_I-D_II-B	Coil: Coil	-	-	-
Cluster_184	ardk_2	G3DSA:1.10.10.2690 [IPR053721: Fimbrial Adhesin Regulatory Protein];G3DSA:3.30.70.2770 [IPR053757: Anti-restriction Endonuclease Superfamily]	PF16509: TrfB plasmid transcriptional repressor [IPR032428: TrfB transcriptional repressor protein];PF22134: DNA Mimic Protein Arn [IPR054385: Anti-restriction endonuclease]	-	-	-	-	-	-	-	SSF88659: Sigma3 and sigma4 domains of RNA polymerase sigma factors [IPR013324: RNA polymerase sigma factor, region 3/4-like]	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_185	AcrIIA25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_186	AcrVA4	-	-	-	-	-	-	-	-	-	-	cd22199: AcrVA4	-	-	-	-
Cluster_187	AcrIIA6	-	PF28149: Anti-CRISPR type II subtype A6-like [IPR049858: Anti-CRISPR type II subtype A6-like]	-	-	-	-	-	-	-	-	cd22242: AcrIIA6 [IPR049858: Anti-CRISPR type II subtype A6-like];cd00093: HTH_XRE [IPR001387: Cro/C1-type, helix-turn-helix domain]	-	-	-	-
Cluster_188	Acb4	-	PF13876: Phage protein (N4 Gp49/phage Sf6 gene 66) family [IPR025915: Phage protein (N4 Gp49/phage Sf6 gene 66) family]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_189	RelB	G3DSA:1.10.1220.10 [IPR013321: Arc-type ribbon-helix-helix]	PF04221: RelB antitoxin [IPR007337: RelB antitoxin/Antitoxin DinJ]	-	PTHR38781: ANTITOXIN DINJ-RELATED [IPR007337: RelB antitoxin/Antitoxin DinJ]	-	-	TIGR02384: type II toxin-antitoxin system RelB/DinJ family antitoxin [IPR007337: RelB antitoxin/Antitoxin DinJ]	-	-	-	-	-	-	-	-
Cluster_190	Adfb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_191	5277	G3DSA:6.10.250.2570	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_192	AbiEi	G3DSA:1.10.10.10 [IPR036388: Winged helix-like DNA-binding domain superfamily]	PF13338: Transcriptional regulator, AbiEi antitoxin [IPR025159: AbiEi antitoxin, N-terminal domain];PF19570: Family of unknown function (DUF6088) [IPR045738: Protein of unknown function DUF6088]	-	-	-	-	NF047376: type IV toxin-antitoxin system AbiEi family antitoxin [IPR059220: AbiEi antitoxin]	-	-	SSF46785: Winged helix DNA-binding domain [IPR036390: Winged helix DNA-binding domain superfamily]	-	Coil: Coil	-	-	-
Cluster_193	5061	G3DSA:6.10.250.2570	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_194	5004	G3DSA:6.10.250.2570	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_195	AcrIIIB2_2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_196	Adfn_t4	G3DSA:1.10.357.40 [IPR037238: YbiA-like superfamily]	PF08010: Bacteriophage protein GP30.3 [IPR012596: Bacteriophage T4, Y12G]	-	-	-	-	-	-	-	SSF143990: YbiA-like [IPR037238: YbiA-like superfamily]	cd15457: NADAR [IPR012816: NADAR]	-	-	-	-
